name_en,name_kn,code,pop,area,mla_en,mla_kn,mla_party,elec_year,news_1,news_1_link,news_2,news_2_link,news_3,news_3_link,news_4,news_4_link,news_5,news_5_link,news_6,news_6_link,cm_article,,
Sarvagnanagar,ಸರ್ವಜ್ಞನಗರ,160,353607,17,K J George,ಕೆ ಜೆ ಜಾರ್ಜ್,inc,2018,K J George pinpoints major flaws in anti-conversion Bill,https://www.sabrangindia.in/article/k-j-george-pinpoints-major-flaws-anti-conversion-bill,Money laundering case registered against KJ George,https://www.newindianexpress.com/states/karnataka/2019/sep/07/money-laundering-case-registered-against-kj-george-2030190.html,Karnataka HC quashes case involving cop's suicide against KJ George,https://www.newindianexpress.com/states/karnataka/2020/nov/05/karnataka-hcquashes-case-involving-cops-suicide-against-kj-george-2219580.html,"K J George, has an advice for party in Karnataka: not power, focus on party",https://indianexpress.com/article/political-pulse/k-j-george-karnataka-polls-sarvangana-nagar-candidate-congress-8566279/,,,,,https://bengaluru.citizenmatters.in/sarvagnanagar-assembly-constituency-voter-information-112846,,
C.V. Ramannagar,ಸಿ. ವಿ. ರಾಮನ್ ನಗರ,161,263367,22,Raghu S,ರಘು ಎಸ್,bjp,2018,"At your service, at last",https://bangaloremirror.indiatimes.com/bangalore/civic/at-your-service-at-last/articleshow/98316085.cms,Aam Aadmi Party workers attacked by supporters of BJP MLA Raghu!,https://www.thehansindia.com/karnataka/aam-aadmi-party-workers-attacked-by-supporters-of-bjp-mla-raghu-792647,"I worked hard, but CM discriminated against oppn MLAs' constituencies",https://www.deccanchronicle.com/nation/current-affairs/120418/i-worked-hard-but-cm-discriminated-against-oppn-mlas-constituencie.html,MLAs in Bengaluru distribute expensive ‘gifts’ to woo voters ahead of elections,https://www.thehindu.com/news/cities/bangalore/mlas-in-bengaluru-distribute-expensive-gifts-to-woo-voters-ahead-of-elections/article66451035.ece,,,,,https://bengaluru.citizenmatters.in/c-v-raman-nagar-assembly-constituency-voter-information-112343,,
Shivajinagar,ಶಿವಾಜಿನಗರ,162,194937,13,Rizwan Arshad,ರಿಜ್ವಾನ್ ಅರ್ಷದ್,inc,2019,"Hundreds of women protested against the MLA, following a raid wherein thousands of ration kits were seized",https://www.newindianexpress.com/cities/bengaluru/2023/mar/20/women-beat-set-fire-to-effigy-of-shivajinagar-mla-2557626.html,A 360-degree health plan for Shivajinagar is now a reality,https://bangaloremirror.indiatimes.com/bangalore/others/a-360-degree-health-plan-for-shivajinagar-is-now-a-reality/articleshow/98761666.cms,Winds of change blow away stench of garbage in Shivajinagar,https://bangaloremirror.indiatimes.com/bangalore/others/winds-of-change-blow-away-stench-of-garbage-in-shivajinagar/articleshow/98028041.cms,"Children’s education gets a boost with renovated, world-class schools in Shivajinagar",https://bangaloremirror.indiatimes.com/bangalore/others/childrens-education-gets-a-boost-with-renovated-world-class-schools-in-shivajinagar/articleshow/98571369.cms,,,,,https://bengaluru.citizenmatters.in/shivajinagar-assembly-constituency-voter-information-113225,,
Shantinagar,ಶಾಂತಿನಗರ,163,212740,22,N A Haris,ಎನ್ ಎ ಹರಿಸ್,inc,2018,"N A Haris tops performance list in Karnataka Assembly with 84% attendance, 591 questions raised",https://indianexpress.com/elections/congress-mla-n-a-haris-tops-performance-list-in-karnataka-assembly-adr-report-8578727/,Property linked to Congress MLA NA Haris demolished in anti-encroachment drive,https://economictimes.indiatimes.com/news/india/bengaluru-anti-encroachment-drive-continues-for-the-2nd-day-property-linked-to-congress-mla-na-haris-demolished/videoshow/94182260.cms,Congress MLA Nalapad Ahmed Haris ridicules Hindu festival; apologizes after backlash,https://www.daijiworld.com/news/newsDisplay?newsID=1061076,N. A. Haris Gets Angry At Public TV's Question About MLA Office in BBMP land,https://www.youtube.com/watch?v=juFlIU_fP5w,,,,,https://bengaluru.citizenmatters.in/shantinagar-assembly-constituency-voter-information-112365,,
Gandhinagar,ಗಾಂಧಿನಗರ,164,219934,7,Dinesh Gundu Rao,ದಿನೇಶ್ ಗುಂಡೂರಾವ್,inc,2018,“40 pc BJP govt looting Karnataka”: Dinesh Gundu Rao,https://timesofindia.indiatimes.com/videos/news/40-pc-bjp-govt-looting-karnataka-congress-dinesh-gundu-rao/videoshow/98423530.cms,TNCC leadership miffed with Dinesh Gundu Rao for staying MLA suspension,https://www.thehindu.com/news/national/tamil-nadu/tncc-leadership-miffed-with-aicc-tn-for-staying-mla-ruby-manoharans-suspension/article66184836.ece,Congress workers attack Puducherry in-charge Dinesh Gundu Rao's car,https://www.indiatoday.in/india/story/congress-cadres-attack-puducherry-in-charge-dinesh-gundu-rao-car-demand-change-leadership-1990787-2022-08-21,,,,,,,https://bengaluru.citizenmatters.in/gandhinagar-assembly-constituency-voter-information-112323,,
Rajajinagar,ರಾಜಾಜಿನಗರ,165,201287,5,S Suresh Kumar,ಎಸ್ ಸುರೇಶ್ ಕುಮಾರ್,bjp,2018,Education Minister drew flak for wanting to gauge Covid situation before deciding on canceling the second PU exams,https://www.newindianexpress.com/states/karnataka/2021/jun/02/education-minister-suresh-kumars-wait-and-watch-comment-draws-flak-2310613.html,Merger of schools meant to improve standards: S Suresh Kumar,https://www.newindianexpress.com/states/andhra-pradesh/2022/aug/01/merger-of-schools-meant-to-improve-standards-education-commissioner-s-suresh-kumar-2482834.html,PM praises Bengaluru’s Suresh Kumar for contribution to environment,https://www.udayavani.com/english-news/mann-ki-baat-pm-praises-bengalurus-suresh-kumar-for-contribution-to-environment,,,,,,,https://bengaluru.citizenmatters.in/rajaji-nagar-assembly-constituency-voter-information-112867,,
Govindarajanagar,ಗೋವಿಂದರಾಜನಗರ,166,281098,10,Somanna V,ಸೋಮಣ್ಣ ವಿ,bjp,2018,ECI Files FIR Against BJP Candidate for Illegal Attempts to Induce Rival To Withdraw,https://thewire.in/government/karnataka-eci-fir-bjp-candidate-attempts-induce-rival-withdraw,"FIR Filed Against Somanna for Offering Bribe, Govt Vehicle to JDS Opponent",https://www.news18.com/elections/karnataka-polls-fir-filed-against-bjps-somanna-for-offering-bribe-govt-vehicle-to-jds-opponent-7675711.html,"Special court rejects B report, summons minister V Somanna",https://www.newindianexpress.com/states/karnataka/2022/mar/23/special-court-rejectsb-report-summons-ministerv-somanna-2433203.html,"Karnataka minister V Somanna slaps woman at public event, stirs controversy",https://economictimes.indiatimes.com/news/politics-and-nation/viral-video-karnataka-minister-v-somanna-slaps-woman-at-public-event-stirs-controversy-watch/videoshow/95050106.cms,ಬಿಜೆಪಿ ಸರ್ಕಾರ ಅಧಿಕಾರಕ್ಕೆ ಬಂದರೆ ಚಾಮರಾಜನಗರವನ್ನು ಗುಡಿಸಲು ಮುಕ್ತ ಜಿಲ್ಲೆಯಾಗಿಸುವೆ: ಸಚಿವ ಸೋಮಣ್ಣ,https://kannada.asianetnews.com/politics/if-the-bjp-government-comes-to-power-it-will-make-chamarajnagar-a-slum-free-district-says-minister-v-somanna-gvd-rtzljw,Audio Clip Viral: ಸಚಿವ ವಿ ಸೋಮಣ್ಣ ವಿರುದ್ಧ ಎಫ್​ಐಆರ್ ದಾಖಲು,https://kannada.news18.com/news/state/fir-filed-against-minister-v-somanna-mrq-1088725.html,https://bengaluru.citizenmatters.in/govindraj-nagar-assembly-constituency-voter-information-113229,,https://timesofindia.indiatimes.com/city/bengaluru/karnataka-v-somanna-r-ashoka-likely-to-face-tough-contest-in-their-safe-seats/articleshow/99477438.cms?from=mdr
Vijayanagar,ವಿಜಯನಗರ,167,290082,8,M Krishnappa,ಎಂ ಕೃಷ್ಣಪ್ಪ,inc,2018,Karnataka government grants Rs 25 crore for Kempegowda Bhavan,https://www.deccanherald.com/state/karnataka-districts/karnataka-government-grants-rs-25-crore-for-kempegowda-bhavan-1198173.html,Politicians continue to violate the ban on putting up illegal posters and flexes,https://bangaloremirror.indiatimes.com/bangalore/civic/too-many-warnings-ignored/articleshow/98255294.cms,,,,,,,,,https://bengaluru.citizenmatters.in/vijay-nagar-assembly-constituency-voter-information-113232,,
Chamrajapet,ಚಾಮರಾಜಪೇಟೆ,168,220337,4,Zameer Ahmed Khan B Z,ಜಮೀರ್ ಅಹಮದ್ ಖಾನ್ ಬಿ ಝಡ್,inc,2018,MLA has disproportionate assets worth Rs 87 crore - ACB,https://indianexpress.com/article/cities/bangalore/karnataka-congress-zameer-ahmed-khan-acb-raids-ed-8013957/,"MLA arranges Umrah for ASHA workers, distributes Saudi Riyal",https://www.newindianexpress.com/states/karnataka/2023/feb/27/chamarajpet-congress-mlaarranges-umrah-for-asha-workers-distributes-saudi-riyal-2551274.html,AICC warns Karnataka Congress MLA Zameer Ahmed Khan over his Vokkaligas remarks,https://indianexpress.com/article/cities/bangalore/adhere-lakshmana-rekha-aicc-karnataka-congress-mla-zameer-ahmed-khan-vokkaligas-remarks-8053047/,From steering travels biz to being blue-eyed boy of two bigwig leaders,https://www.deccanherald.com/state/top-karnataka-stories/zameer-ahmed-khan-from-steering-travels-biz-to-being-blue-eyed-boy-of-two-bigwig-leaders-1124118.html,,,,,https://bengaluru.citizenmatters.in/chamrajpet-assembly-constituency-voter-information-112353,,
Chickpet,ಚಿಕ್ಕಪೇಟೆ,169,213066,11,Uday Garudachar,ಉದಯ್ ಗರುಡಾಚಾರ್,bjp,2018,Uday Garudachar sentenced to 2-month jail for cover-up of info in poll affidavit,https://www.youtube.com/watch?v=aGgPozgzl18,"With MLAs involved in real estate business, punishing violators a hard task",https://timesofindia.indiatimes.com/city/bengaluru/bengaluru-with-mlas-involved-in-real-estate-business-punishing-violators-a-hard-task/articleshow/94085495.cms,BJP MLA snubs demand to ban Muslim traders in Bengaluru religious festival,https://indianexpress.com/article/cities/bangalore/bjp-mla-snubs-demand-to-ban-muslim-traders-8296764/,MLA gets six months of jail over election affidavit,https://www.deccanchronicle.com/nation/politics/131022/bjp-mla-gets-six-months-of-jail-over-election-affidavit.html,"ವಿಧಾನಸಭಾ ಚುನಾವಣೆ: ಮತದಾರರನ್ನು ಓಲೈಸಲು ದೇವಾಲಯ, ಚರ್ಚ್, ಮಸೀದಿಗಳಿಗೆ ಅಭ್ಯರ್ಥಿಗಳ ಭೇಟಿ",https://www.kannadaprabha.com/karnataka/2023/apr/29/karnataka-polls-candidates-throng-places-of-worship-to-woo-voters-492754.html,,,https://bengaluru.citizenmatters.in/chickpet-assembly-constituency-voter-information-113236,,
